id,vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,spd,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd
0,2101,20221018 18:12:32,29.643630081161803,-82.29939701223768,359,352,2,Walmart/Duval,27268,False,17,13970,709866,10021,,0,EMPTY,64800,2022-10-18
1,1016,20221018 18:12:36,29.645546,-82.322725,359,323,5,Oaks Mall,0,False,0,6126,708563,10052,,0,EMPTY,65520,2022-10-18
2,1810,20221018 18:12:33,29.65206977707612,-82.33645626575662,269,323,5,Oaks Mall,6958,False,16,6125,708562,10053,,0,EMPTY,64080,2022-10-18
3,1802,20221018 18:12:32,29.6544768736068,-82.38668354980537,112,335,5,Rosa Parks/Downtown,7994,False,34,6072,708519,10051,,0,EMPTY,64860,2022-10-18
4,702,20221018 18:12:37,29.67211955789016,-82.33080104495679,0,346,6,PineRidge/Walmart,13752,False,0,14001,709895,10061,,0,EMPTY,64800,2022-10-18
5,2105,20221018 18:12:33,29.634765683784536,-82.28920138329524,179,342,7,E. Meadows,19756,False,18,334,707961,10071,,0,EMPTY,64800,2022-10-18
6,1902,20221018 18:12:30,29.6369842612612,-82.34982740724003,249,500393,8,PineRidge/Walmart,1998,False,0,374,707985,10082,,0,EMPTY,65400,2022-10-18
7,1808,20221018 18:12:26,29.70619111730996,-82.35730508609808,61,500393,8,PineRidge/Walmart,48645,False,17,14264,710033,10081,,0,EMPTY,62580,2022-10-18
8,2581,20221018 18:12:26,29.617406584057687,-82.36260371431139,353,500433,9,Reitz Union/UF Campus,2577,False,4,10972,709053,10094,,0,EMPTY,65280,2022-10-18
9,2578,20221018 18:12:32,29.64492500640642,-82.35039381641862,1,500433,9,Reitz Union/UF Campus,18294,False,15,10971,709052,10093,,0,EMPTY,64620,2022-10-18
10,712,20221018 18:12:32,29.648402088094883,-82.34974846730275,334,500433,9,Reitz Union/UF Campus,19719,False,10,10970,709051,10092,,0,EMPTY,63960,2022-10-18
11,802,20221018 18:12:25,29.666680407194544,-82.35322908477895,90,22,10,Rosa Parks/Downtown,27459,False,40,636,708038,10101,,0,EMPTY,64800,2022-10-18
12,2107,20221018 18:12:35,29.652524761184875,-82.29227543954414,179,104,11,E. Meadows/Cedar Grove,22565,False,21,650,708052,10111,,0,EMPTY,64800,2022-10-18
13,1811,20221018 18:12:36,29.644898333333337,-82.34025833333332,233,500421,13,Cottage Grove / SW 13th Street,19,False,0,14342,710091,10131,,0,EMPTY,65700,2022-10-18
14,1809,20221018 18:12:37,29.66658636038616,-82.32444,0,66,15,NW 13th St/ NW 23rd Ave,8699,False,3,1010,708091,10151,,0,HALF_EMPTY,64800,2022-10-18
15,2110,20221018 18:12:32,29.634270235811503,-82.31879578716045,230,35,16,UF Health,2038,False,37,8973,708798,10161,,0,EMPTY,65220,2022-10-18
16,2102,20221018 18:12:33,29.6380062,-82.32572,13,500382,17,Rosa Parks / Downtown,8298,True,0,8900,708747,10171,,0,EMPTY,64800,2022-10-18
17,1602,20221018 18:12:32,29.6380234,-82.3979,271,500354,20,Reitz Union / UF Campus,9368,True,0,14532,710270,10203,,0,EMPTY,63000,2022-10-18
18,1604,20221018 18:12:27,29.6396713896301,-82.39545548156856,104,500354,20,Reitz Union / UF Campus,11014,False,30,14533,710271,10204,,0,EMPTY,63900,2022-10-18
19,804,20221018 18:12:32,29.639555000000005,-82.36924333333333,359,500354,20,Reitz Union / UF Campus,21814,False,22,14535,710273,10202,,0,EMPTY,65700,2022-10-18
20,1002,20221018 18:12:35,29.676283503321667,-82.43033,180,500383,23,Oaks Mall,1713,False,26,1506,708191,10231,,0,EMPTY,65400,2022-10-18
21,1402,20221018 18:12:35,29.65413484368724,-82.40888,0,500383,23,Oaks Mall,24299,False,23,1505,708190,10232,,0,EMPTY,64080,2022-10-18
22,2106,20221018 18:12:31,29.65119095791336,-82.31138240776,4,500347,26,GNV Airport,5759,False,22,1553,708215,10261,,0,HALF_EMPTY,64800,2022-10-18
23,1601,20221018 18:12:34,29.648396929851057,-82.34354100363498,265,500400,33,Butler Plaza Transfer Station,1353,False,0,13148,709374,10331,,0,EMPTY,65160,2022-10-18
24,1202,20221018 18:12:29,29.6252747,-82.38789,177,500462,33,Midtown,0,True,0,13098,709328,10333,,0,EMPTY,65160,2022-10-18
25,1017,20221018 18:12:34,29.641169719732343,-82.35049,0,500462,33,Midtown,26206,False,22,13097,709327,10334,,0,EMPTY,64080,2022-10-18
26,1014,20221018 18:12:26,29.64856666666667,-82.34524666666667,91,55,34,Hub / UF Campus,26771,False,0,13246,709436,10341,,0,EMPTY,63900,2022-10-18
27,1806,20221018 18:12:37,29.62790177806472,-82.37265,180,500387,34,Lexington Cr.,20355,False,0,13200,709404,10342,,0,EMPTY,63900,2022-10-18
28,1003,20221018 18:12:34,29.620490550568597,-82.37254323442318,82,207,35,SW 35TH PLACE,30306,False,22,14752,710440,10352,,0,EMPTY,63840,2022-10-18
29,1009,20221018 18:12:30,29.61981,-82.36528,106,500406,35,Reitz Union / UF Campus,1757,False,41,14822,710386,10351,,0,EMPTY,65100,2022-10-18
30,1010,20221018 18:12:30,29.6351100000704,-82.35360330865804,89,500406,35,Reitz Union / UF Campus,12802,False,33,14821,710385,10354,,0,EMPTY,64200,2022-10-18
31,1005,20221018 18:12:36,29.646327759754985,-82.34402127038211,240,500406,35,Reitz Union / UF Campus,21828,False,12,14820,710384,10353,,0,EMPTY,63300,2022-10-18
