tmstmp, lat, lon, vid, rt, pid
20230626 19:31:57,29.65774267227829,-82.40887107511588,1802,5,323
20230626 19:34:14,29.64521166666667,-82.34699,1017,35,199
20230626 19:41:57,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:42:12,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:42:29,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:42:44,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:42:59,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:43:15,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:43:32,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:43:47,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:43:47,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:44:18,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:44:18,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:44:50,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:44:50,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:45:20,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:45:20,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:45:36,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:45:51,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:46:07,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:46:22,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:46:37,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:46:53,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:47:08,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:47:23,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:47:39,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:47:55,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:48:12,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:48:13,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:48:27,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:48:29,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:48:43,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:48:44,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:48:58,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:48:59,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:49:15,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:49:15,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:49:30,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:49:31,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:49:46,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:49:46,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:50:01,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:50:01,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:50:13,29.625251666666667,-82.38733166666667,1010,33,500643
20230626 19:50:17,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:50:32,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:50:32,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:51:04,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:51:04,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:51:20,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:51:36,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:51:51,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:52:06,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:52:22,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:52:37,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:52:54,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:53:10,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:53:26,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:53:43,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:53:58,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:54:13,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:54:29,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:54:44,29.64626414541108,-82.34339695821609,1008,35,199
20230626 19:55:00,29.64626414541108,-82.34339695821609,1008,35,199
