vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,spd,tatripid,origtatripno,tablockid,zone,mode,psgld,stst,stsd
1811,20230627 10:31:49,29.625550657635614,-82.37911583652068,300,476,1,Butler Plaza Transfer Station,25222,False,11,14141,801614,10013,,0,EMPTY,36900,2023-06-27
1200,20230627 10:31:38,29.650240002789033,-82.32441999558456,89,477,1,Rosa Parks/Downtown,27397,False,16,14175,801599,10012,,0,EMPTY,35940,2023-06-27
2305,20230627 10:31:45,29.659237328035356,-82.29987,180,64,2,Rosa Parks/Downtown,1848,False,20,13977,801519,10021,,0,EMPTY,37800,2023-06-27
2005,20230627 10:31:42,29.645806476712856,-82.32232550074764,179,41,3,North Main St/Post Office,802,False,20,6869,800785,10031,,0,EMPTY,37800,2023-06-27
1105,20230627 10:31:51,29.65180743763029,-82.32241619286559,358,323,5,Oaks Mall,2415,False,0,12779,801096,10052,,0,EMPTY,37440,2023-06-27
1810,20230627 10:31:50,29.657686224067913,-82.40887140381872,0,323,5,Oaks Mall,32538,True,0,12778,801095,10051,,0,EMPTY,36000,2023-06-27
1805,20230627 10:31:52,29.709908209456145,-82.35595859834632,343,354,6,Rosa Parks/Downtown,49,False,0,14007,801506,10061,,0,EMPTY,37680,2023-06-27
2301,20230627 10:31:41,29.6364612702357,-82.27246,0,349,7,Eastwood Meadows,30337,True,0,326,800627,10071,,0,EMPTY,36000,2023-06-27
1808,20230627 10:31:45,29.708896666666668,-82.35580999999999,148,328,8,UF Health,107,False,8,14269,801790,10081,,0,EMPTY,37920,2023-06-27
1902,20230627 10:31:45,29.639004999999997,-82.34409166666667,234,447,8,PineRidge/Walmart,16,False,0,359,801801,10082,,0,EMPTY,38100,2023-06-27
1601,20230627 10:31:40,29.6396,-82.34704,262,500432,9,Hunters Run,2489,False,22,12866,801166,10091,,0,EMPTY,37800,2023-06-27
803,20230627 10:31:46,29.653636118887235,-82.33918117555822,1,75,10,Santa Fe,8424,False,0,12980,801210,10101,,0,EMPTY,37200,2023-06-27
710,20230627 10:31:37,29.645546,-82.322725,359,4,11,E. Meadows/Health Dept,0,False,0,6887,800801,10112,,0,EMPTY,37800,2023-06-27
2304,20230627 10:31:41,29.645848798215102,-82.27246,0,54,11,Rosa Parks/Downtown,1793,False,36,657,800670,10111,,0,EMPTY,37800,2023-06-27
